sleep_date,duration_hrs,total_deep_hrs,total_light_hrs,total_interpurt_hrs,total_unknown_hrs,total_toss_turns,avg_percent_rem_hrs
2013-09-07,8.0,0.0,0.0,0.0,0.0,0,0.0
2013-09-08,5.7,0.0,0.0,0.0,0.0,0,0.0
2013-09-09,6.9,0.0,0.0,0.0,0.0,0,0.0
2013-09-10,6.75,0.0,0.0,0.0,0.0,0,0.0
2013-09-11,8.6833333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-09-12,7.166666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-09-13,10.35,0.0,0.0,0.0,0.0,0,0.0
2013-09-14,9.3166666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-09-15,4.85,0.0,0.0,0.0,0.0,0,0.0
2013-09-16,5.666666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-09-17,5.15,0.0,0.0,0.0,0.0,0,0.0
2013-09-18,7.25,0.0,0.0,0.0,0.0,0,0.0
2013-09-19,6.2,0.0,0.0,0.0,0.0,0,0.0
2013-09-20,10.75,0.0,0.0,0.0,0.0,0,0.0
2013-09-21,8.1666666666666661,0.0,0.0,0.0,0.0,0,0.0
2013-09-22,6.9,0.0,0.0,0.0,0.0,0,0.0
2013-09-23,6.8666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-09-24,6.833333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-09-25,6.85,0.0,0.0,0.0,0.0,0,0.0
2013-09-26,5.8833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-09-27,8.45,0.0,0.0,0.0,0.0,0,0.0
2013-09-28,7.7666666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-09-29,5.0166666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-09-30,5.416666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-10-01,7.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-10-02,7.333333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-10-03,5.25,0.0,0.0,0.0,0.0,0,0.0
2013-10-04,7.7833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-10-05,8.6666666666666661,0.0,0.0,0.0,0.0,0,0.0
2013-10-06,5.7666666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-10-07,8.3666666666666671,0.0,0.0,0.0,0.0,0,0.0
2013-10-08,6.9,0.0,0.0,0.0,0.0,0,0.0
2013-10-09,5.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-10-10,5.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-10-11,8.15,0.0,0.0,0.0,0.0,0,0.0
2013-10-12,6.5,0.0,0.0,0.0,0.0,0,0.0
2013-10-13,7.55,0.0,0.0,0.0,0.0,0,0.0
2013-10-14,5.583333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-10-15,6.1166666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-10-16,8.5666666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-10-17,5.4333333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-10-18,8.0666666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-10-19,6.7,0.0,0.0,0.0,0.0,0,0.0
2013-10-20,6.3,0.0,0.0,0.0,0.0,0,0.0
2013-10-21,7.3666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-10-22,5.6,0.0,0.0,0.0,0.0,0,0.0
2013-10-23,9.6333333333333329,0.0,0.0,0.0,0.0,0,0.0
2013-10-24,5.7166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-10-25,12.116666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-10-26,9.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-10-27,4.2833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-10-28,7.7333333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-10-29,4.833333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-10-30,9.6833333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-10-31,4.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-11-01,10.5,0.0,0.0,0.0,0.0,0,0.0
2013-11-02,9.2333333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-11-03,5.8666666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-11-04,7.9,0.0,0.0,0.0,0.0,0,0.0
2013-11-05,6.9666666666666668,0.0,0.0,0.0,0.0,0,0.0
